"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","100/4155","169/18805",0.591715976331361,2.67803103126624,11.6696763728669,0.000000000000000000000000159685618556673,0.00000000000000000000100106914273178,0.000000000000000000000888692489799085,"EEF1D/RPS9/FAU/RPS2/RPL8/RPLP1/RPLP2/RPL13/RPL18A/RPL27A/RPL13A/RPS11/EIF3G/ZNF385A/RPL35/UBA52/RPS10/RPS28/EIF3K/RPS20/RPL19/RPL7/RPL36/RPS3A/RPL9/RPS14/RPL27/RPS16/RACK1/RPS27/RPL28/RPS15/RPS19/RPL12/RPL26/RPL38/RPL11/RPL6/RPS7/RPS17/EIF3F/RPL3/RPL21/EIF3D/RPS6/RPS23/RPS8/RPS5/RPL10/RPLP0/AKT2/RPS24/RPL39/RPL18/RPS21/RPL32/RPS3/RPS15A/RPL24/RPS27A/RWDD1/RPL36A/RPS12/RPL23A/SARS1/RPL30/RPL15/RPL29/RPL17/RPS4X/RBM24/RPL37A/RPL23/RPL4/RPL22/RPL10A/RPS25/RPL7A/RPL34/MIF4GD/RPS18/RPL5/RPL37/YBX1/RPL35A/EIF4A1/RPSA2/CPEB2/RBM4/RPL31/RPSA/EIF2B4/RPS29/EIF3CL/EIF3M/EIF3C/CPEB4/DRG2/RPL14/YBX3",100
"GO:0140014","mitotic nuclear division","131/4155","282/18805",0.464539007092199,2.10244429082281,9.9338447070943,0.0000000000000000000686660237807473,0.000000000000000215233651540752,0.000000000000000191072246173058,"BUB1/CDCA2/BUB1B/CDK1/MKI67/SPC25/TRIP13/KIF15/DLGAP5/KIF18A/SKA3/NCAPG/SKA1/NUSAP1/CCNB1/KIF4A/ZWINT/KIF11/KIF14/KNL1/IGF1/TPX2/HASPIN/TTK/CHEK1/CDCA5/CENPF/CHMP2A/NEK2/CDCA8/CENPE/NCAPH/KIF18B/CENPI/MYBL2/NUF2/PLK1/BIRC5/UBE2C/CDC20/FBXO43/KIF2C/SPAG5/PRC1/KIFC1/CHMP4B/ESPL1/ANLN/CHMP1A/NDC80/AURKA/HSPA1B/HSPA1A/UHRF1/CHMP6/NCAPG2/CCDC61/CENPK/PPP2R1A/AKAP8L/RACGAP1/ANAPC15/KIF23/MAD2L1/FBXW5/CTDP1/FBXO5/CDC14C/TGFB1/CEP97/EGF/MAD2L2/CAV2/AURKAIP1/CDC14B/ZWILCH/OBSL1/SMC2/SPC24/SIRT2/KATNB1/NUDC/PIN1/PPP1R9B/DAPK3/PHB2/AURKB/KNTC1/CDKN1C/GEN1/EML3/KIF4B/CHMP4A/SPDL1/VPS4A/NCAPD2/ANAPC11/KLHL22/KIF20B/SMC4/RHOA/RPL24/REEP3/CDC25C/SPICE1/FLNA/DCTN2/WRAP73/BANF1/REEP4/TOM1L2/KIF2A/PSRC1/MAD1L1/CDT1/NUMA1/ANKRD53/INCENP/NCAPD3/AAAS/KAT5/RANGRF/NSFL1C/KAT2B/LCMT1/CLASP1/SMC3/SH2B1/MTBP/NIPBL/BOD1",131
"GO:0000070","mitotic sister chromatid segregation","99/4155","193/18805",0.512953367875648,2.32156151213034,9.82791377922147,0.000000000000000000437640844794908,0.000000000000000914523485339758,0.000000000000000811862156642343,"BUB1/BUB1B/CDK1/SPC25/TRIP13/KIF15/DLGAP5/KIF18A/SKA3/NCAPG/SKA1/NUSAP1/CCNB1/KIF4A/ZWINT/KIF11/KIF14/KNL1/TPX2/HASPIN/TTK/CDCA5/CENPF/CHMP2A/NEK2/CDCA8/CENPE/NCAPH/KIF18B/CENPI/MYBL2/NUF2/PLK1/BIRC5/UBE2C/CDC20/KIF2C/SPAG5/PRC1/KIFC1/CHMP4B/ESPL1/CHMP1A/NDC80/HSPA1B/HSPA1A/UHRF1/CHMP6/NCAPG2/CCDC61/CENPK/PPP2R1A/AKAP8L/RACGAP1/ANAPC15/KIF23/MAD2L1/FBXO5/CEP97/MAD2L2/ZWILCH/SMC2/SPC24/KATNB1/NUDC/AURKB/KNTC1/GEN1/EML3/KIF4B/CHMP4A/SPDL1/VPS4A/NCAPD2/ANAPC11/KLHL22/SMC4/RHOA/SPICE1/FLNA/DCTN2/WRAP73/KIF2A/PSRC1/MAD1L1/CDT1/NUMA1/ANKRD53/INCENP/NCAPD3/AAAS/KAT5/RANGRF/KAT2B/LCMT1/CLASP1/SMC3/NIPBL/BOD1",99
"GO:0000819","sister chromatid segregation","112/4155","234/18805",0.478632478632479,2.16622954529092,9.56018169590442,0.00000000000000000203542718699322,0.00000000000000319002325881512,0.00000000000000283192198358767,"CDC6/TOP2A/BUB1/BUB1B/CDK1/ACTB/SPC25/TRIP13/KIF15/DLGAP5/KIF18A/SKA3/NCAPG/SKA1/NUSAP1/CCNB1/KIF4A/ZWINT/KIF11/KIF14/KNL1/TPX2/HASPIN/TTK/CDCA5/CENPF/CHMP2A/NEK2/CDCA8/CENPE/NCAPH/KIF18B/CENPI/MYBL2/NUF2/PLK1/BIRC5/UBE2C/CDC20/KIF2C/SPAG5/PRC1/KIFC1/CHMP4B/ESPL1/CHMP1A/NDC80/TACC3/HSPA1B/HSPA1A/UHRF1/CHMP6/NCAPG2/CCDC61/CENPK/PPP2R1A/AKAP8L/RACGAP1/ANAPC15/KIF23/MAD2L1/FBXO5/SMARCD2/CEP97/MAD2L2/ZWILCH/SMC2/SPC24/KATNB1/NUDC/AURKB/KNTC1/BCL7C/BCL7B/GEN1/EML3/KIF4B/CHMP4A/SPDL1/RMI2/VPS4A/DPF3/NCAPD2/ANAPC11/ANAPC2/KLHL22/SMC4/RHOA/SPICE1/FLNA/DCTN2/WRAP73/KIF2A/PSRC1/MAD1L1/CDT1/NUMA1/ANKRD53/INCENP/NCAPD3/AAAS/CDC27/KAT5/RANGRF/KAT2B/LCMT1/CLASP1/SMC3/LATS1/ANAPC1/NIPBL/BOD1",112
"GO:0007059","chromosome segregation","171/4155","431/18805",0.396751740139211,1.79564776734485,8.89916892107535,0.0000000000000000700050126491794,0.0000000000000877722848595411,0.0000000000000779192635528866,"CDC6/TOP2A/ESCO2/BUB1/CDCA2/BUB1B/CDK1/ASPM/MKI67/ACTB/SPC25/TRIP13/KIF15/DLGAP5/KIF18A/SKA3/DIAPH3/NCAPG/STIL/HJURP/SKA1/NUSAP1/CCNB1/KIF4A/ZWINT/KIF11/CCNB2/KIF14/KNL1/SGO1/MND1/TPX2/HASPIN/DMC1/TTK/CDCA5/CENPF/CHMP2A/NEK2/CDCA8/CENPE/NCAPH/BRIP1/KIF18B/CENPI/MYBL2/NUF2/MAP1S/PLK1/BIRC5/UBE2C/CDC20/KIF2C/SPAG5/FAM83D/PRC1/KIFC1/CHMP4B/ESPL1/CHMP1A/NDC80/AURKA/TACC3/HSPA1B/TRAPPC12/HSPA1A/CENPU/UHRF1/CHMP6/NCAPG2/CCDC61/CENPK/PPP2R1A/RGS14/AKAP8L/OIP5/RACGAP1/ANAPC15/KIF23/PTTG1/MAD2L1/FBXO5/SMARCD2/CEP97/MAD2L2/CCNE1/HAUS7/CENPN/ZWILCH/SMC2/CSNK1D/SPC24/SGO2/SIRT2/KATNB1/NUDC/BRCA1/ECT2/AURKB/KNTC1/NAA60/BCL7C/BCL7B/GEN1/EML3/KIF4B/CHMP4A/SPDL1/SAC3D1/CPAP/BAG6/RMI2/VPS4A/RECQL5/DPF3/TUBGCP2/NCAPD2/CENPL/ANAPC11/SIRT7/ANAPC2/KLHL22/CEP63/MEIOC/SMC4/RPS3/RHOA/TLK1/PTTG3P/SPICE1/FLNA/DCTN2/TERB2/WRAP73/PMF1/CENPM/KIF2A/PSRC1/MAD1L1/CDT1/NUMA1/HDAC3/ANKRD53/INCENP/NCAPD3/CENPT/AAAS/CENPX/CDC27/CIAO2B/CENPW/ERCC2/KAT5/NEK7/RANGRF/KAT2B/CCNE2/LCMT1/CLASP1/TOP3B/M1AP/SMC3/P3H4/LATS1/IHO1/TOP1/ANAPC1/TUBGCP6/NTMT1/NIPBL/BOD1",171
"GO:0098813","nuclear chromosome segregation","136/4155","322/18805",0.422360248447205,1.91154860939824,8.78644833995226,0.000000000000000294482832015947,0.000000000000307685478984662,0.000000000000273145742608476,"CDC6/TOP2A/BUB1/BUB1B/CDK1/ASPM/ACTB/SPC25/TRIP13/KIF15/DLGAP5/KIF18A/SKA3/NCAPG/SKA1/NUSAP1/CCNB1/KIF4A/ZWINT/KIF11/CCNB2/KIF14/KNL1/SGO1/MND1/TPX2/HASPIN/DMC1/TTK/CDCA5/CENPF/CHMP2A/NEK2/CDCA8/CENPE/NCAPH/BRIP1/KIF18B/CENPI/MYBL2/NUF2/MAP1S/PLK1/BIRC5/UBE2C/CDC20/KIF2C/SPAG5/FAM83D/PRC1/KIFC1/CHMP4B/ESPL1/CHMP1A/NDC80/AURKA/TACC3/HSPA1B/TRAPPC12/HSPA1A/UHRF1/CHMP6/NCAPG2/CCDC61/CENPK/PPP2R1A/AKAP8L/RACGAP1/ANAPC15/KIF23/PTTG1/MAD2L1/FBXO5/SMARCD2/CEP97/MAD2L2/CCNE1/ZWILCH/SMC2/SPC24/SIRT2/KATNB1/NUDC/ECT2/AURKB/KNTC1/BCL7C/BCL7B/GEN1/EML3/KIF4B/CHMP4A/SPDL1/BAG6/RMI2/VPS4A/DPF3/NCAPD2/ANAPC11/SIRT7/ANAPC2/KLHL22/MEIOC/SMC4/RHOA/PTTG3P/SPICE1/FLNA/DCTN2/TERB2/WRAP73/PMF1/KIF2A/PSRC1/MAD1L1/CDT1/NUMA1/ANKRD53/INCENP/NCAPD3/AAAS/CDC27/KAT5/RANGRF/KAT2B/CCNE2/LCMT1/CLASP1/M1AP/SMC3/P3H4/LATS1/IHO1/ANAPC1/NIPBL/BOD1",136
"GO:0000280","nuclear division","170/4155","448/18805",0.379464285714286,1.71740695375623,8.18456416755325,0.0000000000000110604305745342,0.0000000000099054056102507,0.00000000000879345811241539,"TOP2A/BUB1/CDCA2/BUB1B/CDK1/ASPM/MKI67/SPC25/TRIP13/KIF15/DLGAP5/KIF18A/SKA3/NCAPG/SKA1/NUSAP1/CCNB1/KIF4A/ZWINT/KIF11/CCNB2/KIF14/KNL1/RAD51/IGF1/SGO1/MND1/TPX2/HASPIN/DMC1/TTK/CHEK1/CDCA5/CENPF/CHMP2A/NEK2/CDCA8/CENPE/NCAPH/BRIP1/KIF18B/CENPI/MYBL2/NUF2/PLK1/BIRC5/UBE2C/CDC20/FBXO43/RAD51AP1/KIF2C/SPAG5/PRC1/KIFC1/CHMP4B/ESPL1/ANLN/CHMP1A/NDC80/AURKA/HSPA1B/HSPA1A/UHRF1/CHMP6/NCAPG2/CCDC61/CENPK/PPP2R1A/AKAP8L/PSMD13/RACGAP1/ANAPC15/KIF23/PTTG1/MAD2L1/FBXW5/FZR1/CTDP1/FBXO5/CDC14C/TGFB1/CEP97/EGF/MAD2L2/CCNE1/BRCA2/CAV2/AURKAIP1/CDC14B/ZWILCH/OBSL1/TAF1L/SMC2/SPC24/SIRT2/KATNB1/NUDC/PIN1/KLHDC3/PPP1R9B/DAPK3/PHB2/AURKB/KNTC1/CCNA1/CDKN1C/GEN1/EML3/KIF4B/CHMP4A/SPDL1/BAG6/VPS4A/CKS2/NCAPD2/ANAPC11/SIRT7/KLHL22/KIF20B/MEIOC/MASTL/SMC4/HFM1/RHOA/RPL24/RAD54L/REEP3/CDC25C/PTTG3P/SPICE1/FLNA/DCTN2/RAD54B/TERB2/WRAP73/BANF1/REEP4/MUS81/TOM1L2/FANCM/UBR2/KIF2A/PSRC1/MAD1L1/CDT1/NUMA1/ANKRD53/INCENP/NCAPD3/AAAS/CENPX/KAT5/RANGRF/NSFL1C/KAT2B/CCNE2/LCMT1/CLASP1/M1AP/SMC3/PDE3A/SH2B1/EME2/P3H4/ING2/IHO1/FIGNL1/MTBP/NIPBL/BOD1",170
"GO:0048285","organelle fission","181/4155","498/18805",0.363453815261044,1.644945606735,7.76821062406697,0.000000000000159056644620151,0.000000000124640763140465,0.00000000011064901054036,"TOP2A/BUB1/CDCA2/BUB1B/CDK1/ASPM/MKI67/SPC25/TRIP13/KIF15/DLGAP5/KIF18A/SKA3/NCAPG/SKA1/NUSAP1/CCNB1/KIF4A/ZWINT/KIF11/CCNB2/KIF14/KNL1/RAD51/IGF1/SGO1/MND1/TPX2/HASPIN/DMC1/TTK/CHEK1/CDCA5/CENPF/CHMP2A/NEK2/CDCA8/CENPE/NCAPH/BRIP1/KIF18B/CENPI/MYBL2/NUF2/PLK1/BIRC5/UBE2C/CDC20/FBXO43/RAD51AP1/KIF2C/SPAG5/PRC1/KIFC1/CHMP4B/ESPL1/ANLN/CHMP1A/NDC80/AURKA/HSPA1B/HSPA1A/UHRF1/CHMP6/NCAPG2/CCDC61/CENPK/PPP2R1A/ACOT8/AKAP8L/PSMD13/FIS1/RACGAP1/ANAPC15/KIF23/PTTG1/MAD2L1/FBXW5/FZR1/CTDP1/FBXO5/CDC14C/TGFB1/CEP97/EGF/MAD2L2/CCNE1/BRCA2/CAV2/AURKAIP1/CDC14B/ZWILCH/OBSL1/TAF1L/SMC2/SPC24/SIRT2/UCP2/KATNB1/NUDC/PIN1/KLHDC3/PPP1R9B/DAPK3/PHB2/AURKB/MTFR2/KNTC1/CCNA1/CDKN1C/GEN1/EML3/KIF4B/CHMP4A/SPDL1/BAG6/VPS4A/MIEF2/CKS2/NCAPD2/ANAPC11/SIRT7/KLHL22/KIF20B/MEIOC/MASTL/SMC4/HFM1/RHOA/RPL24/RAD54L/REEP3/CDC25C/PTTG3P/SPICE1/FLNA/DCTN2/RAD54B/TERB2/WRAP73/MCU/BANF1/REEP4/LRRK2/MUS81/TOM1L2/FANCM/UBR2/KIF2A/PSRC1/MAD1L1/CDT1/NUMA1/ANKRD53/INCENP/NCAPD3/STAT2/AAAS/CENPX/C11orf65/INF2/KAT5/RANGRF/NSFL1C/KAT2B/CCNE2/LCMT1/CLASP1/M1AP/SMC3/PDE3A/SH2B1/EME2/P3H4/ING2/IHO1/FIGNL1/PINK1/MTBP/NIPBL/BOD1",181
"GO:0044772","mitotic cell cycle phase transition","168/4155","457/18805",0.367614879649891,1.66377805338537,7.65029965569967,0.000000000000394503386592931,0.000000000274793525616787,0.000000000243946129230038,"CDC6/MELK/DTL/RRM2/CDC25A/BUB1/CLSPN/BUB1B/CDK1/ACTB/GPR132/SPC25/TRIP13/DLGAP5/E2F7/SKA3/STIL/SKA1/CCNB1/ZWINT/AIF1/CCNB2/KIF14/TICRR/KNL1/HASPIN/TTK/ORC1/CHEK1/CDCA5/CENPF/CHMP2A/CDCA8/CENPE/NUF2/PLK1/BIRC5/CTDSP1/UBE2C/CDC20/CDC34/CHMP4B/ESPL1/ANLN/CDC7/NDC80/MIIP/INHBA/AURKA/TACC3/WEE1/CCNA2/CDKN3/PTPN6/BABAM2/ANAPC15/FBXL15/CDK2AP2/MAD2L1/NOP53/TAF10/FZR1/CTDP1/FBXO5/CDC14C/TGFB1/SMARCD2/MAD2L2/CCNE1/EIF4EBP1/EZH2/CDC14B/ZWILCH/E2F1/CDKN2D/SPC24/SIRT2/FOXM1/BRCA1/BID/PPP1R9B/CCDC57/LSM10/PHB2/DDR2/CDK2/AURKB/IQGAP3/ATAD5/KNTC1/CCNA1/BLM/BCL7C/CDKN1C/BCL7B/GEN1/SPDL1/KCNA5/CPAP/VPS4A/DGKZ/DONSON/RPS6/CKS2/DPF3/BARD1/ANAPC11/DCUN1D3/ANAPC2/KLHL22/CCNF/LATS2/CDK14/MASTL/APP/RPL24/RFWD3/CDC25C/BTN2A2/PRMT2/MBLAC1/ADAM17/TFAP4/RRM1/SYF2/BABAM1/TERT/AKT1/JADE1/NES/CYP1A1/ZFYVE19/SDE2/DBF4/PKD2/RBBP8/NBN/CDK10/MEPCE/RDX/CAMK2A/MAD1L1/ITGB1/WAC/INCENP/CDK3/PLK2/CDC27/PKD1/TREX1/TFDP1/ERCC2/DLG1/EIF4E/CCNE2/LCMT1/MDM2/CLASP1/TAF2/KMT2E/MIR214/TMOD3/LATS1/TM4SF5/CCNY/ANAPC1/MTBP/CKS1B",168
"GO:1901987","regulation of cell cycle phase transition","171/4155","468/18805",0.365384615384615,1.65368416180691,7.62638225559629,0.000000000000445681258678822,0.000000000279397581065753,0.00000000024803334890894,"CDC6/DTL/RRM2/CDC25A/BUB1/CLSPN/BUB1B/CDC45/CDK1/ACTB/GPR132/SPC25/TRIP13/DLGAP5/E2F7/SKA3/STIL/SKA1/CCNB1/ZWINT/AIF1/KIF14/TICRR/KNL1/RAD51/HASPIN/TTK/ORC1/CHEK1/CDCA5/CENPF/CDCA8/CENPE/BRIP1/NUF2/PLK1/BIRC5/CTDSP1/UBE2C/CDC20/FAM83D/ESPL1/ANLN/CDC7/NDC80/MIIP/INHBA/AURKA/PAGR1/WEE1/GNB1L/PTPN6/BABAM2/ANAPC15/CDK2AP2/MAD2L1/NOP53/FZR1/FBXO5/CDC14C/TGFB1/SMARCD2/MAD2L2/CCNE1/BRCA2/CCNQ/WDR76/EZH2/CDC14B/DNA2/ZWILCH/RAD9A/E2F1/DDRGK1/CDKN2D/SPC24/SIRT2/TELO2/BRCA1/BID/PPP1R9B/LSM10/PHB2/DDR2/CDK2/AURKB/TIMELESS/ATAD5/DYRK3/KNTC1/BLM/BCL7C/CDKN1C/BCL7B/GEN1/SPDL1/KCNA5/PAF1/CPAP/VPS4A/DGKZ/DONSON/DPF3/BARD1/ANAPC11/DCUN1D3/KLHL22/CEP63/CDK14/CDK5/APP/TIPIN/PARP9/CCAR2/CDK16/RFWD3/CDC25C/BTN2A2/PRMT2/MBLAC1/ADAM17/TFAP4/RRM1/SYF2/PKP3/BABAM1/DTX3L/TERT/AKT1/MN1/JADE1/CDK17/STK38/CYP1A1/ZFYVE19/SDE2/MUS81/DBF4/PKD2/RBBP8/NBN/CDK10/MEPCE/RDX/MAD1L1/CDT1/WAC/INCENP/CDK3/PKD1/TP53BP1/TREX1/TFDP1/ERCC2/DLG1/APBB1/CCNE2/LCMT1/MDM2/INTS7/KMT2E/EME2/MIR214/TMOD3/DOT1L/TM4SF5/USP28/MTBP/ING4/ATRIP/PTPN11",171
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","149/4155","396/18805",0.376262626262626,1.70291665147261,7.52884140045722,0.00000000000106959423558875,0.00000000060957147844599,0.000000000541143035747152,"EXO1/IGHV3-64/IGHV3-9/IGHV2-70D/IGHV3-38/IGHV3-20/IGHV4-34/IGHV2-70/IGHV1-24/IGHV3-16/IGHV3-49/IGHV3-43/FUT7/IGHG1/IGHV3-72/IGHV3-21/IGHV3-13/IGHV6-1/JUNB/IGHV4-61/IGHV3-48/IGHV3-35/IGHV3-73/IGHV4-39/IGHV2-5/IGHV1-18/IGHV3-33/IGHV3-30/IGHV3-66/IGHV3-7/IGHV4-59/IGHV4-28/IGHV3-15/IGHV3-53/IGHV1-58/IGHV1-69/IGHV1-69D/PKN1/IGHV1-69-2/IGHV3-11/IGHV3-74/IGHV4-4/IGHV2-26/IGHV3-23/IGHG3/TCIRG1/IGHV5-51/PTPN6/IGHV7-81/SECTM1/TNFRSF1B/WAS/ARID5A/CARD9/TGFB1/MAD2L2/IGHG4/IGLC1/IGLC2/IGHV3-64D/CD7/IGLC6/IGLL1/IGLL5/STAT5A/UNC13D/IGLC3/IRF4/IGHG2/CD1D/CXCL13/IGKC/RSAD2/ATAD5/CLEC4G/TYK2/SASH3/IGHV5-10-1/IL12A/IGHV7-4-1/IGLC7/RIPK3/UNC93B1/IL4R/TRPM4/LGALS1/KLHL22/MYO1G/TMEM98/FCER2/BCL3/LILRB1/GZMM/HRAS/CTSH/ERCC1/CD74/BTN3A3/NSD2/C5/TRAF2/JAG1/ADAM17/IL27/RELB/C4B/IL18BP/CD81/TFRC/IGHV1-3/KMT5C/IGHV1-45/CLEC7A/LTA/IGHA1/BATF/NBN/FOXP3/CD80/TNFSF13/GNL1/DUSP22/SEMA4A/HLA-DRB1/CTSC/SANBR/HLX/TP53BP1/TAP2/FZD5/TREX1/SOCS5/RC3H2/BTN3A2/IL4/CRACR2A/LILRB4/EP300/DENND1B/AZGP1/ZBTB7B/CD4/FCGR3B/TNFAIP3/CD274/TNFSF4/C4A/IL6ST/AGER",149
